0.000000, 0.000000, 0.007302, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.019265, 0.000000, 0.000005, 0.010000
0.000000, 0.000000, 0.002517, 0.000000, 0.000020, 0.020000
0.000000, 0.000000, 0.024050, 0.000000, 0.000045, 0.030000
0.000000, 0.000000, 0.031228, 0.000000, 0.000080, 0.040000
0.000000, 0.000000, -0.004661, 0.000000, 0.000125, 0.050000
0.000000, 0.000000, 0.012087, 0.000000, 0.000180, 0.060000
0.000000, 0.000000, 0.033621, 0.000001, 0.000245, 0.070000
0.000000, 0.000000, -0.011838, 0.000001, 0.000320, 0.080000
0.000000, 0.000000, -0.007053, 0.000001, 0.000405, 0.090000
0.000000, 0.000000, 0.007302, 0.000002, 0.000500, 0.100000
0.000000, 0.000000, 0.000124, 0.000002, 0.000605, 0.110000
0.000000, 0.000000, -0.014231, 0.000003, 0.000720, 0.120000
0.000000, 0.000000, -0.033372, 0.000004, 0.000845, 0.130000
0.000000, 0.000000, -0.011838, 0.000005, 0.000980, 0.140000
0.000001, 0.001226, -0.016624, 0.000006, 0.001125, 0.150000
0.000001, 0.000000, -0.019016, 0.000007, 0.001280, 0.160000
0.000001, 0.000000, -0.028587, 0.000008, 0.001445, 0.170000
0.000001, 0.000000, -0.045335, 0.000010, 0.001620, 0.180000
0.000001, 0.000000, -0.047727, 0.000011, 0.001805, 0.190000
0.000001, 0.000000, -0.009446, 0.000013, 0.002000, 0.200000
0.000001, 0.000000, -0.004661, 0.000015, 0.002205, 0.210000
0.000001, 0.000000, -0.004661, 0.000018, 0.002420, 0.220000
0.000001, 0.000000, 0.040798, 0.000020, 0.002645, 0.230000
0.000001, 0.000000, 0.019265, 0.000023, 0.002880, 0.240000
0.000001, 0.000000, 0.007302, 0.000026, 0.003125, 0.250000
0.000001, 0.000000, 0.033621, 0.000029, 0.003380, 0.260000
0.000001, 0.000000, 0.047976, 0.000033, 0.003645, 0.270000
0.000001, 0.000000, 0.038406, 0.000037, 0.003920, 0.280000
0.000001, 0.000000, 0.009695, 0.000041, 0.004205, 0.290000
0.000001, 0.000000, 0.009695, 0.000045, 0.004500, 0.300000
0.000002, 0.001226, 0.062331, 0.000050, 0.004805, 0.310000
0.000002, 0.000000, 0.071902, 0.000055, 0.005120, 0.320000
0.000002, 0.000000, 0.047976, 0.000060, 0.005445, 0.330000
0.000003, 0.001226, 0.098220, 0.000066, 0.005780, 0.340000
