0.000000, 0.000000
0.000000, 0.000005
0.000000, 0.000020
0.000000, 0.000045
0.000000, 0.000080
0.000000, 0.000125
0.000000, 0.000180
0.000001, 0.000245
0.000001, 0.000320
0.000001, 0.000405
0.000002, 0.000500
0.000002, 0.000605
0.000003, 0.000720
0.000004, 0.000845
0.000005, 0.000980
0.000006, 0.001125
0.000007, 0.001280
0.000008, 0.001445
0.000010, 0.001620
0.000011, 0.001805
0.000013, 0.002000
0.000015, 0.002205
0.000018, 0.002420
0.000020, 0.002645
0.000023, 0.002880
0.000026, 0.003125
0.000029, 0.003380
0.000033, 0.003645
0.000037, 0.003920
0.000041, 0.004205
0.000045, 0.004500
0.000050, 0.004805
0.000055, 0.005120
0.000060, 0.005445
0.000066, 0.005780
0.000071, 0.006125
0.000078, 0.006480
0.000084, 0.006845
0.000091, 0.007220
0.000099, 0.007605
0.000107, 0.008000
0.000115, 0.008405
0.000123, 0.008820
0.000133, 0.009245
0.000142, 0.009680
0.000152, 0.010125
0.000162, 0.010580
0.000173, 0.011045
0.000184, 0.011520
0.000196, 0.012005
0.000208, 0.012500
0.000221, 0.013005
0.000234, 0.013520
0.000248, 0.014045
0.000262, 0.014580
0.000277, 0.015125
0.000293, 0.015680
0.000309, 0.016245
0.000325, 0.016820
0.000342, 0.017405
0.000360, 0.018000
0.000378, 0.018605
0.000397, 0.019220
0.000417, 0.019845
0.000437, 0.020480
0.000458, 0.021125
0.000479, 0.021780
0.000501, 0.022445
0.000524, 0.023120
0.000548, 0.023805
0.000572, 0.024500
0.000597, 0.025205
0.000622, 0.025920
0.000648, 0.026645
0.000675, 0.027380
0.000703, 0.028125
0.000732, 0.028880
0.000761, 0.029645
0.000791, 0.030420
0.000822, 0.031205
0.000853, 0.032000
0.000886, 0.032805
0.000919, 0.033620
0.000953, 0.034445
0.000988, 0.035280
0.001024, 0.036125
0.001060, 0.036980
0.001098, 0.037845
0.001136, 0.038720
0.001175, 0.039605
0.001215, 0.040500
0.001256, 0.041405
0.001298, 0.042320
0.001341, 0.043245
0.001384, 0.044180
0.001429, 0.045125
0.001475, 0.046080
0.001521, 0.047045
0.001569, 0.048020
0.001617, 0.049005
0.001667, 0.050000
0.001717, 0.051005
0.001769, 0.052020
0.001821, 0.053045
0.001875, 0.054080
0.001929, 0.055125
0.001985, 0.056180
0.002042, 0.057245
0.002100, 0.058320
0.002158, 0.059405
0.002218, 0.060500
0.002279, 0.061605
0.002342, 0.062720
0.002405, 0.063845
0.002469, 0.064980
0.002535, 0.066125
0.002601, 0.067280
0.002669, 0.068445
0.002738, 0.069620
0.002809, 0.070805
0.002880, 0.072000
0.002953, 0.073205
0.003026, 0.074420
0.003101, 0.075645
0.003178, 0.076880
0.003255, 0.078125
0.003334, 0.079380
0.003414, 0.080645
0.003495, 0.081920
0.003578, 0.083205
0.003662, 0.084500
0.003747, 0.085805
0.003833, 0.087120
0.003921, 0.088445
0.004010, 0.089780
0.004101, 0.091125
0.004192, 0.092480
0.004286, 0.093845
0.004380, 0.095220
0.004476, 0.096605
0.004573, 0.098000
0.004672, 0.099405
0.004772, 0.100820
0.004874, 0.102245
0.004977, 0.103680
0.005081, 0.105125
0.005187, 0.106580
0.005294, 0.108045
0.005403, 0.109520
0.005513, 0.111005
0.005625, 0.112500
0.005738, 0.114000
0.005853, 0.115500
0.005969, 0.117000
0.006087, 0.118500
0.006206, 0.120000
0.006327, 0.121500
0.006449, 0.123000
0.006573, 0.124500
0.006698, 0.126000
0.006825, 0.127500
0.006953, 0.129000
0.007083, 0.130500
0.007214, 0.132000
0.007347, 0.133500
0.007481, 0.135000
0.007617, 0.136500
0.007754, 0.138000
0.007893, 0.139500
0.008033, 0.141000
0.008175, 0.142500
0.008318, 0.144000
0.008463, 0.145500
0.008609, 0.147000
0.008757, 0.148500
0.008906, 0.150000
0.009057, 0.151500
0.009209, 0.153000
0.009363, 0.154500
0.009518, 0.156000
0.009675, 0.157500
0.009833, 0.159000
0.009993, 0.160500
0.010154, 0.162000
0.010317, 0.163500
0.010481, 0.165000
0.010647, 0.166500
0.010814, 0.168000
0.010983, 0.169500
0.011153, 0.171000
0.011325, 0.172500
0.011498, 0.174000
0.011673, 0.175500
0.011849, 0.177000
0.012027, 0.178500
0.012206, 0.180000
0.012387, 0.181500
0.012569, 0.183000
0.012753, 0.184500
0.012938, 0.186000
0.013125, 0.187500
0.013313, 0.189000
0.013503, 0.190500
0.013694, 0.192000
0.013887, 0.193500
0.014081, 0.195000
0.014277, 0.196500
0.014474, 0.198000
0.014673, 0.199500
0.014873, 0.201000
0.015075, 0.202500
0.015278, 0.204000
0.015483, 0.205500
0.015689, 0.207000
0.015897, 0.208500
0.016106, 0.210000
0.016317, 0.211500
0.016529, 0.213000
0.016743, 0.214500
0.016958, 0.216000
0.017175, 0.217500
0.017393, 0.219000
0.017613, 0.220500
0.017834, 0.222000
0.018057, 0.223500
0.018281, 0.225000
0.018507, 0.226500
0.018734, 0.228000
0.018963, 0.229500
0.019193, 0.231000
0.019425, 0.232500
0.019658, 0.234000
0.019893, 0.235500
0.020129, 0.237000
0.020367, 0.238500
0.020606, 0.240000
0.020847, 0.241500
0.021089, 0.243000
0.021333, 0.244499
0.021578, 0.245988
0.021825, 0.247468
0.022073, 0.248937
0.022323, 0.250397
0.022574, 0.251846
0.022827, 0.253286
0.023081, 0.254715
0.023336, 0.256135
0.023593, 0.257544
0.023851, 0.258944
0.024111, 0.260333
0.024372, 0.261713
0.024634, 0.263082
0.024898, 0.264442
0.025163, 0.265791
